iter	Passed	Remaining
0	1	819
1	3	930
2	5	942
3	7	889
4	8	877
5	10	895
6	13	950
7	14	908
8	16	880
9	17	860
10	19	869
11	21	861
12	22	834
13	23	821
14	24	802
15	26	792
16	27	787
17	29	777
18	30	770
19	31	757
20	32	748
21	33	731
22	34	724
23	36	721
24	37	718
25	39	718
26	41	719
27	42	719
28	44	718
29	45	717
30	47	723
31	49	719
32	50	717
33	51	712
34	53	708
35	54	706
36	56	711
37	58	711
38	60	710
39	61	711
40	63	712
41	65	713
42	66	710
43	68	706
44	69	702
45	71	703
46	73	705
47	75	713
48	77	713
49	79	713
50	81	713
51	83	715
52	84	714
53	86	716
54	88	717
55	90	716
56	91	714
57	93	713
58	95	714
59	97	712
60	98	711
61	100	710
62	102	708
63	104	710
64	105	707
65	107	710
66	109	707
67	111	708
68	113	706
69	114	704
70	116	704
71	118	703
72	119	701
73	121	700
74	124	702
75	127	709
76	129	709
77	130	707
78	132	704
79	133	703
80	135	702
81	137	700
82	139	698
83	140	697
84	142	695
85	144	694
86	145	691
87	147	688
88	148	685
89	150	684
90	151	682
91	153	680
92	154	677
93	155	673
94	157	670
95	158	668
96	160	666
97	162	665
98	163	662
99	164	659
100	166	656
101	167	654
102	169	652
103	170	649
104	171	646
105	173	644
106	175	643
107	177	643
108	179	644
109	181	641
110	182	640
111	184	637
112	185	635
113	187	635
114	188	632
115	190	629
116	191	626
117	193	625
118	194	623
119	197	625
120	198	623
121	200	620
122	202	619
123	203	618
124	204	614
125	206	611
126	207	610
127	209	608
128	211	606
129	212	605
130	213	601
131	215	600
132	217	599
133	218	595
134	219	594
135	221	592
136	223	591
137	224	589
138	226	587
139	227	585
140	229	584
141	231	582
142	232	581
143	234	579
144	235	576
145	236	574
146	238	572
147	239	570
148	241	568
149	242	566
150	244	565
151	245	562
152	247	560
153	248	559
154	250	557
155	252	556
156	253	554
157	255	553
158	257	552
159	259	550
160	260	548
161	262	547
162	263	545
163	265	543
164	267	542
165	268	541
166	271	540
167	272	539
168	274	536
169	275	534
170	276	531
171	278	530
172	279	527
173	280	526
174	282	524
175	283	521
176	284	519
177	285	517
178	287	515
179	288	513
180	290	512
181	292	510
182	293	509
183	295	506
184	296	505
185	297	503
186	299	500
187	300	498
188	302	497
189	303	495
190	305	494
191	306	491
192	308	490
193	310	490
194	312	488
195	313	486
196	315	485
197	317	483
198	318	482
199	320	480
200	321	478
201	323	477
202	325	476
203	326	474
204	329	473
205	330	472
206	332	470
207	333	468
208	335	466
209	336	464
210	338	463
211	339	461
212	341	459
213	342	457
214	343	455
215	345	453
216	346	451
217	347	450
218	349	448
219	350	446
220	352	445
221	354	443
222	355	441
223	356	439
224	358	438
225	360	437
226	361	435
227	363	433
228	364	431
229	366	430
230	367	428
231	369	426
232	370	424
233	371	422
234	373	421
235	375	419
236	377	419
237	379	417
238	381	416
239	383	415
240	386	415
241	387	413
242	390	412
243	391	411
244	394	410
245	395	408
246	397	407
247	399	405
248	400	404
249	402	402
250	404	401
251	405	399
252	407	397
253	409	396
254	410	394
255	412	392
256	413	391
257	415	389
258	416	387
259	418	385
260	419	384
261	420	382
262	422	380
263	423	378
264	425	377
265	426	375
266	428	373
267	429	372
268	431	370
269	433	369
270	434	367
271	436	365
272	438	364
273	440	362
274	441	361
275	443	359
276	444	358
277	446	356
278	448	355
279	449	353
280	451	351
281	452	350
282	454	348
283	456	346
284	457	345
285	459	343
286	460	341
287	462	340
288	463	338
289	465	336
290	467	335
291	468	334
292	470	332
293	471	330
294	473	328
295	474	327
296	476	325
297	478	324
298	479	322
299	480	320
300	481	318
301	483	316
302	484	315
303	486	313
304	487	311
305	489	310
306	490	308
307	491	306
308	493	304
309	494	303
310	496	301
311	498	300
312	499	298
313	501	297
314	502	295
315	503	293
316	505	291
317	507	290
318	508	288
319	510	287
320	512	285
321	513	283
322	515	282
323	516	280
324	518	279
325	520	277
326	521	276
327	523	274
328	525	272
329	526	271
330	527	269
331	528	267
332	530	266
333	531	264
334	533	262
335	534	261
336	536	259
337	538	257
338	539	256
339	541	254
340	542	253
341	544	251
342	545	249
343	547	248
344	548	246
345	550	244
346	551	243
347	553	241
348	555	240
349	557	238
350	559	237
351	561	236
352	563	234
353	564	232
354	566	231
355	568	230
356	570	228
357	571	226
358	573	225
359	575	223
360	577	222
361	578	220
362	581	219
363	582	217
364	583	215
365	585	214
366	586	212
367	587	210
368	589	209
369	591	207
370	592	206
371	593	204
372	595	202
373	596	201
374	598	199
375	599	197
376	601	196
377	603	194
378	604	193
379	606	191
380	608	189
381	609	188
382	611	186
383	613	185
384	614	183
385	616	181
386	617	180
387	619	178
388	620	177
389	622	175
390	623	173
391	624	172
392	626	170
393	628	168
394	629	167
395	631	165
396	632	164
397	634	162
398	636	161
399	638	159
400	640	158
401	641	156
402	643	154
403	644	153
404	646	151
405	648	150
406	650	148
407	651	146
408	653	145
409	654	143
410	656	142
411	657	140
412	659	138
413	661	137
414	662	135
415	664	134
416	666	132
417	668	131
418	669	129
419	671	127
420	673	126
421	675	124
422	677	123
423	678	121
424	680	120
425	681	118
426	683	116
427	685	115
428	687	113
429	689	112
430	691	110
431	692	109
432	694	107
433	695	105
434	697	104
435	699	102
436	700	101
437	701	99
438	703	97
439	705	96
440	706	94
441	708	92
442	709	91
443	711	89
444	712	88
445	713	86
446	715	84
447	717	83
448	718	81
449	720	80
450	722	78
451	723	76
452	725	75
453	726	73
454	728	72
455	730	70
456	731	68
457	733	67
458	735	65
459	736	64
460	737	62
461	739	60
462	741	59
463	742	57
464	743	55
465	745	54
466	746	52
467	748	51
468	750	49
469	752	48
470	753	46
471	755	44
472	757	43
473	758	41
474	760	40
475	761	38
476	763	36
477	764	35
478	766	33
479	767	31
480	769	30
481	770	28
482	771	27
483	773	25
484	774	23
485	775	22
486	777	20
487	779	19
488	781	17
489	782	15
490	784	14
491	785	12
492	787	11
493	788	9
494	790	7
495	791	6
496	793	4
497	794	3
498	796	1
499	798	0
